scenario,seed,policy,variant,at_risk_orders,at_risk_amount,at_risk_recovered_orders,at_risk_recovered_amount,at_risk_recovery_rate,at_risk_messages,at_risk_link_orders,at_risk_steer_orders,at_risk_organic_orders,eligible_orders,eligible_amount,recovered_orders,recovered_amount,recovery_rate,link_orders,steer_orders,organic_orders,messages_sent,links_created,opt_outs,escalations,incidents,actions_refused,policy_violations,time_to_detect_minutes,stream_digest
S1,7,B2,peak,276,58256230,102,22197125,0.369565,275,50,0,52,1735,357580311,992,209604783,0.571758,454,0,538,1267,832,25,0,1,530,0,7.0,6325c4c036ef4d8fe127d61013f431807d92ebc0d21b4d5c9a2064ef8e3a3a0b
S1,7,agent,peak,276,58256230,149,31236968,0.539855,75,24,92,33,1735,357580311,656,140472131,0.378098,24,93,539,76,49,1,0,1,2,0,7.0,6325c4c036ef4d8fe127d61013f431807d92ebc0d21b4d5c9a2064ef8e3a3a0b
S1,8,B0,peak,237,37389486,48,8862347,0.202532,0,0,0,48,1700,269060805,518,88252563,0.304706,0,0,518,0,0,0,0,1,0,0,7.0,b1319586d5f6455c8592ebeee182ca95876c4c2b61e846f0a8ac95337acf58de
S1,8,B1,peak,237,37389486,72,13021606,0.303797,163,26,0,46,1700,269060805,934,155345703,0.549412,449,0,485,1036,1036,38,0,1,539,0,7.0,b1319586d5f6455c8592ebeee182ca95876c4c2b61e846f0a8ac95337acf58de
S1,8,B2,peak,237,37389486,94,16482622,0.396624,244,46,0,48,1700,269060805,942,158074607,0.554118,438,0,504,1298,838,27,0,1,504,0,7.0,b1319586d5f6455c8592ebeee182ca95876c4c2b61e846f0a8ac95337acf58de
S1,8,agent,peak,237,37389486,115,20079054,0.485232,64,10,75,30,1700,269060805,587,99652862,0.345294,11,76,500,69,41,1,0,1,2,0,7.0,b1319586d5f6455c8592ebeee182ca95876c4c2b61e846f0a8ac95337acf58de
S1,9,B0,peak,257,41820700,44,8117185,0.171206,0,0,0,44,1753,285626269,517,91251240,0.294923,0,0,517,0,0,0,0,1,0,0,3.0,38c3edebc3117c7de7d7da68de9954424063aef501dca8bd438df2a0e3a42b7e
S1,9,B1,peak,257,41820700,83,14551456,0.322957,147,39,0,44,1753,285626269,960,163188048,0.547633,486,0,474,1053,1053,28,0,1,582,0,3.0,38c3edebc3117c7de7d7da68de9954424063aef501dca8bd438df2a0e3a42b7e
S1,9,B2,peak,257,41820700,90,15296025,0.350195,245,46,0,44,1753,285626269,950,161876739,0.541928,453,0,497,1344,879,30,0,1,571,0,3.0,38c3edebc3117c7de7d7da68de9954424063aef501dca8bd438df2a0e3a42b7e
S1,9,agent,peak,257,41820700,44,8117185,0.171206,0,0,0,44,1753,285626269,517,91251240,0.294923,0,0,517,0,0,0,2,1,229,0,3.0,38c3edebc3117c7de7d7da68de9954424063aef501dca8bd438df2a0e3a42b7e
S2,0,B0,peak,166,34176235,32,6895434,0.192771,0,0,0,32,1675,327440872,503,105411089,0.300299,0,0,503,0,0,0,0,1,0,0,9.0,07a86fe85bf708ed071f3a7ec050dc2c1cabc8957547ea0b3ca47ae177d1625c
